Calculated Mass (kg)	Calculated Radius (m)
5.973238643447483e+24	6188741.411483865
1.1948064063812411e+25	7580968.3219232345
1.7928316395417047e+25	8498784.3067807
2.389500352945928e+25	9195881.254185826
4.773400229264681e+25	11020666.386670446
2.987567666211494e+25	9761969.30702173
3.5834688406744204e+25	10240468.354929332
5.374344325948823e+25	11353821.106210202
5.972181170718081e+25	11653444.94310925
4.180127655138503e+25	10655467.02547096
