0.0000	0.5000	0.5000	2.1129e+07	2.5858e+01
0.0000	0.6500	0.3500	2.0394e+07	2.8879e+01
0.0000	0.6000	0.4000	2.0641e+07	4.0120e+01
0.0000	0.4500	0.5500	2.1367e+07	4.0156e+01
0.0000	0.5500	0.4500	2.0887e+07	4.1658e+01
0.0000	0.3500	0.6500	2.1850e+07	4.9620e+01
0.0000	0.4000	0.6000	2.1606e+07	5.6765e+01
0.0000	0.7000	0.3000	2.0132e+07	3.6744e+01
0.0000	0.3000	0.7000	2.2072e+07	6.6408e+01
0.0000	0.7500	0.2500	1.9859e+07	5.1037e+01
0.0000	0.0500	0.9500	2.3232e+07	8.6630e+01
0.0000	0.8000	0.2000	1.9576e+07	6.0804e+01
0.0000	0.8500	0.1500	1.9281e+07	6.3304e+01
0.0000	0.9500	0.0500	1.8583e+07	5.4154e+01
0.0000	0.9000	0.1000	1.8957e+07	6.3639e+01
0.0000	0.2000	0.8000	2.2536e+07	1.1017e+02
0.0000	0.2500	0.7500	2.2305e+07	1.1217e+02
0.0000	0.0000	1.0000	2.3458e+07	1.2476e+02
0.0000	1.0000	0.0000	1.8045e+07	7.5735e+01
0.0500	0.4500	0.5000	2.0910e+07	3.1903e+01
0.0000	0.1500	0.8500	2.2767e+07	1.5889e+02
0.0000	0.1000	0.9000	2.3004e+07	1.8713e+02
0.0500	0.5000	0.4500	2.0665e+07	6.7831e+01
0.0500	0.5500	0.4000	2.0425e+07	6.9537e+01
0.0500	0.4000	0.5500	2.1150e+07	9.9557e+01
0.0500	0.3500	0.6000	2.1390e+07	1.2817e+02
0.0500	0.6000	0.3500	2.0173e+07	9.6385e+01
0.0500	0.3000	0.6500	2.1622e+07	1.5814e+02
0.0500	0.2500	0.7000	2.1853e+07	1.6326e+02
0.0500	0.6500	0.3000	1.9905e+07	1.2092e+02
0.0500	0.1500	0.8000	2.2318e+07	2.0383e+02
0.0500	0.2000	0.7500	2.2094e+07	1.9143e+02
0.0500	0.7000	0.2500	1.9636e+07	1.2178e+02
0.0500	0.0000	0.9500	2.3021e+07	2.6582e+02
0.0500	0.7500	0.2000	1.9350e+07	1.4392e+02
0.0500	0.0500	0.9000	2.2783e+07	2.7425e+02
0.0500	0.1000	0.8500	2.2545e+07	2.6126e+02
0.0500	0.8000	0.1500	1.9050e+07	1.5748e+02
